missing_rate,ari_mean,ari_knn,ari_dae,nmi_mean,nmi_knn,nmi_dae
0,0.7197183016902602,0.7330053634160509,0.7857040943818352,0.790603983815529,0.7940075433862722,0.834643784077925
5,0.706535373669716,0.7380839702653791,0.7228236354777944,0.7773555897885333,0.8078848288617382,0.7988067098079792
10,0.7287661704268528,0.7545111540225966,0.7650503271010812,0.793937409436591,0.8089797052077939,0.8204668321296125
15,0.7792418118685318,0.7647507271448989,0.7171656188297962,0.8113351961138028,0.8121878259394528,0.7904618134697041
20,0.655283141982141,0.7681139839297183,0.7241006085406938,0.7399791607788178,0.8086374944576482,0.8034706186316372
25,0.697651882217462,0.7389604676625131,0.7288625225711979,0.7638754713069043,0.798976904691538,0.7997352725009624
30,0.5906247743683779,0.7103451815502971,0.7141755353456221,0.6876304603690653,0.7773424479720118,0.7870557854209974
35,0.6509222837844226,0.7179234525687838,0.7658343480735678,0.732223027061113,0.7807800022583441,0.8135866565898483
40,0.4807680572379359,0.7411497302548354,0.6998083828282431,0.6150358692912401,0.7908731892967084,0.7744708739361766
45,0.06055114065496741,0.7797666847503477,0.6883269128715195,0.11595449166221725,0.8127071777948346,0.7633278211141292
50,0.08722790702261678,0.7356244724798057,0.6175557042467225,0.12808980262482758,0.7882802862011983,0.7045711936755519
55,0.04413812590215849,0.663505951500061,0.6923456519156913,0.08405943188207687,0.7424336837498385,0.7737785346412225
60,0.08327347360858664,0.6387253913136631,0.5992477955093904,0.12291162503702237,0.708423521615909,0.6974051714654417
65,0.04768382648098197,0.6626857714330836,0.6212534751851374,0.08217358188783805,0.7245052646467841,0.7330634131519466
70,0.062476583940112164,0.6166946819906377,0.7002388515852417,0.09814218964488343,0.6875427745508348,0.7679803395672402
75,0.0454652088223148,0.5444798575867569,0.7001753344959141,0.07696891280080267,0.6144757817805081,0.7782160849744515
80,0.040291593220499834,0.4995382971036326,0.5289542192717165,0.07504296844288101,0.5716490120673636,0.652530674133662
85,0.036522723635224616,0.3839609337128306,0.5579052276865216,0.06763554584487527,0.46279763752715647,0.6745665568751209
90,0.0305874320273471,0.16578121484096364,0.4854750208707227,0.05837032051202524,0.24677181686034255,0.6245757333876437
95,0.02286401542194289,0.03548678080769267,0.533863003103687,0.03870288982404037,0.04911898579758592,0.662962517368019
